id	level	description	assembly	segments	xlim_start	xlim_end	bin	mean_abundance
g30938_3774	1	gyrA m17: DNA gyrase subunit A (abundance=8.59)	ALL	s4975,s4976,s6006,s10479,s11276,s14880,s14881,s20631,s23746,s26015,s28437,s30111,s33144,s37997,s39287,s40626,s43132,s43135,s45752,s45757,s47611,s47612,s47613,s47614,s47615,s47616,s47617,s47618,s47619,s47621,s47622,s47623,s47624,s47626,s47628,s47629,s47630,s47631,s47633,s47634,s47635,s47636,s47637,s47639,s47641,s47642,s47643,s47644,s47645,s47646,s47647,s47651,s47652,s47654,s47655,s47656,s47657,s47659,s47660,s47661,s47662,s47663,s47664,s47665,s47666,s47667,s47669,s47670,s47671,s47673,s47674,s47675,s47676,s47677,s47678,s47679,s47680,s47681,s47683,s47685,s47687,s47688,s47689,s47691,s47692,s47693,s47694,s47695,s47696,s47697,s47698,s47699,s47700,s47702,s47703,s47704,s47705,s47706,s47707,s47708,s47709,s47710,s47711,s47712,s47713,s47714,s47715,s47716,s47717,s47719,s47720,s47721,s47722,s47723,s47724,s47726,s47727,s47728,s47729,s47730,s47731,s47732,s47733,s47734,s47735,s47736,s47737,s47738,s47741,s47742,s47743,s47744,s47745,s47746,s47747,s47748,s47749,s47751,s47752,s47755,s47756,s47757,s47760,s47761,s47762,s47763,s47765,s47766,s47767,s47768,s47770,s47771,s47772,s47773,s47774,s47775,s47776,s47777,s47778,s47779,s47781,s47782,s47783,s47784,s47785,s47786,s47787,s47788,s47789,s47790,s47792,s47793,s47794,s47797,s47800,s47801,s47802,s47803,s47806,s47807,s47808,s47809,s47810,s47811,s47812,s47813,s47814,s47815,s47816,s47817,s47818,s47820,s47821,s47822,s47823,s47824,s47825,s47826,s47827,s47828,s47829,s47830,s47831,s47832,s47834,s47835,s47836,s47838,s47842,s47845,s47850,s47852,s47857,s47860,s47861,s47862,s47864,s47866,s47867,s47868,s47869,s47871,s47872,s47873,s47874,s47876,s47878,s47879,s47881,s47882,s47883,s47884,s47886,s47887,s47888,s47889,s47890,s47892,s47893,s47894,s47895,s47896,s47897,s47898,s47900,s47901,s47902,s47903,s47904,s47905,s47906,s47907,s47908,s47909,s47910,s47912,s47913,s47914,s47915,s47916,s47917,s47918,s47919,s47920,s47921,s47922,s47923,s47924,s47926,s47927,s47928,s47929,s47930,s47931,s47932,s47933,s47934,s47935,s47936,s47937,s47938,s47940,s47941,s47942,s47943,s47944,s47945,s47946,s47947,s47948,s47949,s47950,s47951,s47952,s47953,s47955,s47956,s47957,s47958,s47959,s47960,s47961,s47962,s47963,s47964,s47966,s47967,s47968,s47969,s47970,s47971,s47972,s47973,s47974,s47975,s47976,s47977,s47978,s47979,s47980,s47981,s47982,s47987,s47988,s47990,s47992,s47993,s47994,s47995,s47996,s47997,s47998,s47999,s48000,s48002,s48003,s48004,s48005,s48006,s48007,s48008,s48009,s48010,s48011,s48013,s48014,s48015,s48016,s48017,s48018,s48019,s48020,s48021,s48022,s48023,s48024,s48026,s48027,s48028,s48031,s48032,s48033,s48034,s48035,s48036,s48037,s48039,s48040,s48041,s48042,s48043,s48044,s48045,s48046,s48047,s48048,s48049,s48050,s48052,s48053,s48054,s48055,s48056,s48057,s48058,s48059,s48060,s48061,s48062,s48063,s48065,s48066,s48067,s48068,s48069,s48070,s48071,s48072,s48073,s48074,s48075,s48079,s48081,s48083,s48085,s48087,s48088,s48089,s48090,s48092,s48093,s48094,s48095,s48097,s48098,s48099,s48100,s48101,s48102,s48103,s48104,s48105,s48107,s48108,s48109,s48110,s48111,s48112,s48113,s48114,s48115,s48116,s48117,s48118,s48119,s48120,s48121,s48122,s48123,s48124,s48125,s48126,s48127,s48128,s48130,s48131,s48132,s48133,s48134,s48135,s48136,s48137,s48138,s48140,s48141,s48142,s48143,s48145,s48146,s48147,s48148,s48150,s48153,s48154,s48155,s48156,s48159,s48161,s48162,s48164,s48165,s48167,s48168,s48169,s48170,s48171,s48172,s48183,s48189,s48203,s48222,s48229,s48230,s48231,s48232,s48234,s48235,s48236,s48237,s48238,s48239,s48240,s48241,s48242,s48244,s48245,s48247,s48248,s48249,s48250,s48251,s48252,s48253,s48254,s48255,s48256,s48257,s48259,s48260,s48261,s48269,s48272,s48284,s48286,s48287,s48289,s48290,s48292,s48293,s48294,s48295,s48296,s48297,s48298,s48299,s48301,s48302,s48303,s48304,s48305,s48306,s48307,s48308,s48310,s48311,s48312,s48314,s48316,s48317,s48318,s48320,s48321,s48322,s48323,s48324,s48325,s48326,s48327,s48328,s48329,s48331,s48334,s48336,s48337,s48338,s48340,s48341,s48342,s48343,s48345,s48346,s48347,s48348,s48349,s48350,s48352,s48353,s48354,s48356,s48357,s48358,s48359,s48360,s48361,s48362,s48364,s48365,s48366,s48367,s48368,s48370,s48371,s48372,s48373,s48374,s48375,s48376,s48377,s48378,s48379,s48380,s48381,s48382,s48383,s48384,s48385,s48386,s48388,s48389,s48390,s48391,s48394,s48395,s48396,s48397,s48400,s48401,s48402,s48403,s48404,s48406,s48407,s48408,s48409,s48410,s48411,s48412,s48414,s48415,s48416,s48417,s48418,s48419,s48420,s48421,s48423,s48425,s48426,s48427,s48428,s48429,s48430,s48431,s48432,s48433,s48434,s48435,s48436,s48438,s48439,s48441,s48442,s48443,s48444,s48445,s48446,s48447,s48448,s48449,s48450,s48452,s48453,s48454,s48455,s48456,s48458,s48459,s48461,s48462,s48463,s48464,s48465,s48466,s48467,s48468,s48469,s48470,s48471,s48472,s48473,s48474,s48475,s48476,s48477,s48478,s48479,s48480,s48481,s48483,s48484,s48485,s48486,s48487,s49249,s52971,s53719,s53741,s53752,s54838,s62974,s63047,s63048	1	8070	m17	8.587
g30941_1344	1	gyrA m10: DNA gyrase subunit A (abundance=3.41)	ALL	s11965,s15572,s37463,s49412,s49413,s49414,s49415,s49416,s49417,s49418,s49419,s49420,s49421,s49422,s49424,s49426,s49427,s49428,s49429,s49430,s49431,s49432,s49433,s49436,s49437,s49438,s49440,s49441,s49442,s49443,s49445,s49446,s49449,s49450,s49451,s49452,s49453,s49454,s49456,s49457,s49459,s49460,s49461,s49462,s49463,s49464,s49465,s49466,s49483,s49485,s49486,s49487,s49488,s49489,s49490,s49491,s49492,s49493,s49495,s49496,s49497,s49498,s49499,s49501,s49502,s49503,s49504,s49505,s49506,s49507,s49508,s49511,s49513,s49514,s49515,s49516,s49517,s49518,s49520,s49521,s49522,s49524,s49525,s49526,s49527,s49528,s49529,s49530,s49531,s49533,s49534,s49535,s49536,s49538,s49539,s49540,s49541,s49543,s49544,s49545,s49546,s49547,s49548,s49549,s49550,s49551,s49552,s49553,s49555,s49556,s49557,s49558,s49559,s49561,s49562,s49563,s49564,s49567,s49569,s49570,s49571,s49572,s49573,s49574,s49575,s49576,s49577,s49578,s49579,s49580,s49582,s49583,s49585,s49586,s49587,s49589,s49590,s49592,s49593,s49594,s49596,s49597,s49598,s49600,s49601,s49602,s49603,s49605,s49606,s49607,s49608,s49609,s49611,s49612,s49613,s49614,s49616,s49617,s49618,s49619,s49620,s49621,s49622,s49623,s49624,s49625,s49627,s49629,s49630,s49631,s49632,s49633,s49634,s49635,s49636,s49637,s49638,s49639,s49640,s49641,s49642,s49643,s49644,s49645,s49646,s49647,s49648,s49649,s49650,s49651,s49652,s49655,s49656,s49657,s49659,s49682,s49683,s49684,s49685,s49686,s49688,s49689,s49690,s49693,s49694,s49695,s49696,s49698,s49699,s49700,s49701,s49702,s49704,s49705,s49706,s49707,s49708,s49709,s49710,s49714,s49715,s49717,s49718,s49719,s49721,s49722,s49723,s49724,s49737,s49738,s49739,s49740,s49741,s49742,s49745,s49746,s49747,s49748,s49749,s49750,s49751,s49752,s49753,s49754,s49755,s49756,s49757,s49758,s49759,s49760,s49761,s49762,s49763,s49766,s49768,s49769,s49770,s49771,s49772,s49773,s49774,s49775,s49776,s49777,s49778,s49779,s49780,s49782,s49783,s49784,s49785,s49786,s49787,s49788,s49789,s49795,s49796,s49797,s49798,s49799,s49800,s49801,s49802,s49803,s49804,s49805,s49807,s49808,s49809,s49810,s49811,s49812,s49813,s49814,s49815,s49816,s49817,s49818,s49820,s49822,s49825,s49827,s49828,s49829,s49830,s49831,s49832,s49833,s49834,s49835,s49836,s49837,s49838,s49839,s49840,s49841,s49843,s49844,s49845,s49846,s49847,s49848,s49849,s49850,s49851,s49852,s49853,s49854,s49856,s49857,s49858,s49859,s49861,s49862,s49863,s49865,s49866,s49867,s49868,s49869,s49870,s49872,s49873,s49874,s49875,s49877,s49878,s49879,s49880,s49919,s49920,s49922,s49924,s49926,s49927,s49928,s49929,s49930,s49931,s49932,s49933,s49934,s49935,s49936,s49937,s49938,s49939,s49940,s49941,s49942,s49943,s49944,s49945,s49946,s49947,s49948,s49949,s49951,s49952,s49953,s49954,s49956,s49958,s49959,s49960,s49961,s49962,s49963,s49964,s49965,s49966,s49967,s49968,s49973,s49977,s49978,s49979,s49980,s49982,s49983,s49984,s49985,s49986,s49988,s49989,s49990,s49991,s49992,s49993,s49994,s49995,s49997,s49998,s49999,s50001,s50002,s50003,s50004,s50005,s50006,s50007,s50008,s50009,s50010,s50026,s50027,s50028,s50029,s50031,s50032,s50033,s50034,s50036,s50037,s50038,s50039,s50040,s50041,s50043,s50044,s50045,s50046,s50047,s50048,s50049,s50052,s50053,s50054,s50055,s50056,s50057,s50058,s50059,s50060,s50061,s50062,s50063,s50064,s50066,s50067,s50068,s50069,s50070,s50071,s50072,s50074,s50075,s50076,s50077,s50078,s50079,s50080,s50081,s50082,s50083,s50084,s50085,s50086,s50137,s50138,s50139,s50140,s50141,s50142,s50143,s50144,s50145,s50146,s50147,s50148,s50149,s50150,s50151,s50152,s50153,s50154,s50155,s50156,s50157,s50161,s50162,s50163,s50164,s50165,s50166,s50167,s50168,s50169,s50170,s50171,s50173,s50174,s50176,s50179,s50180,s50181,s50182,s50183,s50207,s50208,s50209,s50210,s50211,s50212,s50213,s50214,s50215,s50216,s50217,s50218,s50219,s50220,s50221,s50222,s50223,s50224,s50225,s50226,s50227,s50228,s50229,s50231,s50232,s50233,s50235,s50236,s50237,s50238,s50239,s50240,s50242,s50243,s50244,s50245,s50246,s50247,s50248,s50249,s50251,s50252,s50254,s50255,s50257,s50259,s50261,s50262,s50263,s50264,s50265,s50266,s50267,s50268,s50269,s50283,s50284,s50285,s50286,s50287,s50289,s50290,s50291,s50292,s50293,s50295,s50317,s50337,s50338,s50341,s50342,s50343,s50344,s50345,s50346,s50347,s50348,s50349,s50351,s50352,s50354,s50355,s50356,s50357,s50358,s50359,s50360,s50361,s50362,s50363,s50364,s50365,s50366,s50368,s50369,s50370,s50371,s50372,s50373,s50374,s50375,s50377,s50378,s50379,s50380,s50381,s50382,s50383,s50384,s50385,s50388,s50389,s50391,s50392,s50395,s50396,s50397,s50398,s50399,s50401,s50402,s50403,s50404,s50405,s50406,s50407,s50408,s50409,s50410,s50411,s50412,s50413,s50414,s50415,s50438,s57276,s57515,s57516,s57517,s57518,s58530	1358140	1370677	m10	3.4119
g18688_1124	1	gyrA m11: DNA gyrase subunit A (abundance=2.5)	ALL	s1955,s3955,s7349,s11899,s11901,s11902,s11903,s11904,s11905,s11907,s11908,s11909,s11910,s11911,s11914,s11915,s11916,s11917,s11919,s11920,s11921,s11924,s11925,s11926,s11927,s11928,s11930,s11932,s11933,s11934,s11935,s11936,s11937,s11938,s11939,s11940,s11941,s11942,s11943,s11944,s11945,s11946,s11947,s11948,s11949,s11950,s11953,s11955,s11956,s11984,s11985,s11986,s11987,s11988,s11989,s11990,s11991,s11992,s11993,s11994,s11995,s11996,s11997,s11998,s11999,s12000,s12001,s12002,s12003,s12004,s12005,s12006,s12007,s12008,s12009,s12010,s12011,s12013,s12015,s12016,s12017,s12019,s12020,s12021,s12022,s12023,s12024,s12025,s12026,s12027,s12028,s12029,s12030,s12031,s12032,s12033,s12034,s12035,s12036,s12037,s12038,s12039,s12040,s12041,s12042,s12043,s12044,s12045,s12046,s12047,s12048,s12049,s12050,s12051,s12052,s12053,s12054,s12055,s12056,s12057,s12058,s12059,s12060,s12061,s12062,s12063,s12064,s12066,s12067,s12068,s12070,s12071,s12073,s12074,s12658,s12659,s12660,s12661,s12663,s12664,s12665,s12666,s12667,s12668,s12669,s12670,s12671,s12672,s12673,s12674,s12675,s12676,s12677,s12678,s12679,s12680,s12681,s12682,s12683,s12684,s12685,s12686,s12687,s12689,s12690,s12691,s12692,s12693,s12694,s12695,s12696,s12697,s12698,s12699,s12700,s12702,s12703,s12704,s12705,s12706,s12707,s12708,s12710,s12712,s12713,s12714,s12715,s12716,s12717,s12719,s12720,s12721,s12722,s12723,s12724,s12725,s12726,s12727,s12728,s12729,s12730,s12731,s12732,s12733,s12737,s12738,s12739,s12740,s12741,s12742,s12743,s12744,s12787,s12788,s12789,s12790,s12791,s12792,s12793,s12794,s12795,s12796,s12797,s12798,s12799,s12800,s12801,s12802,s12803,s12804,s12806,s12836,s12837,s12838,s12839,s12840,s12842,s19127,s19128,s19129,s19130,s19131,s19132,s19133,s19134,s19135,s19136,s19137,s19138,s19139,s19149,s19152,s19153,s19154,s19155,s19156,s19157,s19158,s19159,s19160,s19161,s19162,s19163,s19164,s19167,s19168,s19169,s19172,s19173,s19174,s19176,s19177,s19178,s19179,s19181,s19182,s19183,s19184,s19185,s19186,s19187,s19189,s19190,s19191,s19192,s19193,s19194,s19195,s19196,s19199,s19200,s19201,s19202,s19203,s19204,s19205,s19206,s19207,s19208,s19209,s19210,s19211,s19212,s19213,s19214,s19215,s19216,s19217,s19218,s19219,s19220,s19221,s19222,s19224,s19229,s19230,s19231,s19232,s19233,s19234,s19235,s19236,s19237,s19238,s19239,s19240,s19241,s19242,s19243,s19244,s19245,s19246,s19248,s19249,s19250,s19251,s19252,s19253,s19255,s19256,s19257,s19258,s19259,s19261,s19262,s19263,s19264,s19265,s19266,s19267,s19268,s19269,s19996,s20011,s24600,s25201,s26984,s28008,s28009,s28021,s30179,s33774,s33821,s34217,s34686,s36429,s38641,s39141,s41585,s60849,s60863,s61182,s61183,s62947,s62948,s62949	8255	20852	m11	2.4953
g30937_870	1	gyrA b44: DNA gyrase subunit A (abundance=2.06)	ALL	s47471,s47473,s47476,s47480,s47482,s47484,s47488,s47489,s47495,s47499,s47504,s47507,s47511,s47512,s47513,s47514,s47518,s47519,s47520,s47521,s47525,s47526,s47528,s47534,s47536,s47543,s47548,s47551,s47552,s47556,s47559,s47560,s47561,s47570,s47572,s47574,s47576,s47579,s47580,s47595	650505	663000	b44	2.0568
g18181_2510	1	gyrA b74: DNA gyrase subunit A (abundance=1.59)	ALL	s18062,s18063,s18086,s18087,s18091,s18092,s18094,s18096,s18097,s18098,s18099,s18107,s18111,s18117,s18118,s18124,s18132,s18133,s61135,s61143,s61144	1762631	1775156	b74	1.586
g22401_1006	1	gyrA b224: DNA gyrase subunit A (abundance=1.58)	ALL	s27077,s27078,s27082,s27087,s27088,s27093,s27095,s27100,s27101,s27104,s27106,s27110,s27111,s27127,s27130,s27131,s27133,s27134,s27135,s27136	626251	638797	b224	1.5846
g9385_979	1	gyrA b28: DNA gyrase subunit A (abundance=1.56)	ALL	s157,s158,s159,s163,s165,s166,s168,s171,s174,s176,s179,s180,s182,s185,s188,s190,s191,s204,s206,s208,s209,s210,s214,s215,s218,s221,s240,s245,s249,s251,s254,s255,s257,s259,s261,s263,s279,s285,s287,s296,s299,s301,s302,s308,s310,s312,s314,s317,s327,s329	938741	951236	b28	1.5555
g30939_320	1	gyrA b225: DNA gyrase subunit A (abundance=1.5)	ALL	s48500,s48501,s48502,s48516,s48545,s48563,s48574,s48581,s48582,s48583,s48602,s48617,s48623,s48644,s48658,s48662	179080	191632	b225	1.505
g1885_5926	1	gyrA b4: DNA gyrase subunit A (abundance=1.47)	ALL	s19703,s19704,s19712,s19713,s19715,s19718,s19719,s19721,s19722,s19724,s19728,s19731,s19747,s19751,s19756,s19767,s19768,s19770,s19772,s19774,s19775,s19776,s19777,s19798,s19799,s19800,s19801,s19805,s19807,s19813,s19814,s19818,s19821,s19823,s19824	4972445	4985042	b4	1.4702
g17322_103	1	gyrA m6: DNA gyrase subunit A (abundance=1.42)	ALL	s581,s5505,s5506,s5508,s5510,s5511,s5512,s5513,s5514,s5515,s5516,s5518,s5519,s5521,s5522,s5523,s5524,s5525,s5526,s5527,s5528,s5530,s5531,s5532,s5533,s5534,s5535,s5536,s5537,s5538,s5539,s5540,s5542,s5543,s5544,s5545,s5546,s5548,s5549,s5550,s5551,s5552,s5553,s5554,s5555,s5556,s5557,s5558,s5560,s5563,s5564,s5565,s5566,s5567,s5568,s5569,s5570,s5571,s5572,s5573,s5574,s5575,s5577,s5578,s5579,s5580,s5581,s5582,s5583,s5584,s5585,s5586,s5587,s5588,s5589,s5590,s5592,s5593,s5594,s5595,s5597,s5598,s5599,s5601,s5602,s5603,s5605,s5606,s5607,s16533,s16534,s16536,s16537,s16538,s16540,s16541,s16557,s16558,s16559,s16560,s16561,s16562,s16563,s16564,s16565,s16566,s19714,s19773,s22186,s23495,s23519,s23826,s26188,s26189,s26190,s26192,s26193,s26194,s26195,s26196,s26197,s26198,s26199,s26200,s26201,s26202,s26203,s26204,s26205,s26206,s26207,s26210,s26211,s26212,s26213,s26215,s26216,s26218,s26219,s26220,s26221,s26222,s26223,s26224,s26226,s27198,s27200,s27201,s27202,s27203,s27204,s27205,s27206,s27207,s27208,s27209,s27210,s27211,s27212,s27213,s27214,s27215,s28005,s28024,s28064,s40805,s41588,s41955,s41956,s41957,s42093,s42094,s42095,s42097,s42099,s42102,s42104,s42105,s42106,s42107,s42108,s42109,s42110,s42112,s42113,s42114,s42115,s42116,s42117,s42118,s42119,s42121,s42122,s42123,s42124,s42125,s42126,s42127,s42128,s42129,s42130,s42131,s42132,s42134,s42135,s42136,s42137,s42138,s42140,s42141,s42142,s42143,s42144,s42145,s42147,s42148,s42149,s42150,s42151,s42154,s42155,s42156,s42157,s42158,s42159,s42160,s42161,s42162,s42164,s42165,s42166,s42167,s42168,s42169,s42170,s42171,s42172,s42174,s42175,s42176,s42177,s42178,s42179,s42180,s42181,s42182,s42183,s42184,s42185,s42186,s42187,s42188,s42189,s42191,s42192,s42193,s42194,s42195,s42197,s42198,s42199,s42200,s42201,s42202,s42203,s42204,s42205,s42207,s42208,s42210,s42211,s42212,s42213,s42214,s42216,s42217,s42218,s42219,s42220,s42221,s42222,s42223,s42225,s42226,s42229,s42230,s42231,s42232,s42233,s42234,s42235,s42236,s42237,s42238,s42239,s42240,s42241,s42242,s42243,s42266,s42820,s42822,s42829,s54567,s57918,s57920,s60399,s61362	3554	16250	m6	1.4185
