assembly	gene	contig	start	end	strand	uniref	identity	coverage	evalue	bitscore	prot_desc	tax	uniref_count
BAA	g362_1	ctg404	1	102	+	UniRef100_A0A391P5V7	47.289	0.563636363636364	2.28e-09	55.8	Uncharacterized protein	Mediterraneibacter butyricigenes TaxID=2316025 	1
BAA	g362_2	ctg404	132	341	+	UniRef100_A0A173WQ08	100	1	1.7e-43	144	Uncharacterized protein	Anaerostipes hadrus TaxID=649756 	1
BAA	g362_3	ctg404	375	2612	-	UniRef100_UPI0006DCED62	100	1	0	1477	UvrD-helicase domain-containing protein	Anaerostipes hadrus TaxID=649756 	1
BAA	g362_4	ctg404	2814	3377	+	UniRef100_A0A173WPY5	100	1	8.47e-136	386	Anaerobic benzoate catabolism transcriptional regulator	Anaerostipes hadrus TaxID=649756 	1
BAA	g362_5	ctg404	3754	4968	+	UniRef100_D4N079	100	1	5.36e-300	820	Acetylornithine aminotransferase	Firmicutes TaxID=1239 	7
BAA	g362_6	ctg404	5014	5610	+	UniRef100_A0A173WTT1	100	1	1.06e-139	397	Cytidylate kinase	Anaerostipes hadrus TaxID=649756 	1
BAA	g362_7	ctg404	5722	8370	+	UniRef100_A0A173WPN2	100	1	0	1710	1,3-propanediol dehydrogenase	Anaerostipes hadrus TaxID=649756 	1
BAA	g362_8	ctg404	8528	8887	+	UniRef100_A0A173WTK2	100	1	3.2e-80	240	Chromosome segregation protein	Anaerostipes hadrus TaxID=649756 	1
BAA	g362_9	ctg404	8929	9234	+	UniRef100_A0A173WP98	100	1	2.75e-68	209	Predicted ATPase	Anaerostipes hadrus TaxID=649756 	1
BAA	g362_10	ctg404	9303	10061	+	UniRef100_A0A173S9K6	100	1	4.96e-183	511	Protein involved in cell division	Anaerostipes hadrus TaxID=649756 	2
BAA	g820_1	ctg923	2	235	-	UniRef100_A0A0E2HDE2	66.642	0.684210526315789	2.33e-45	150	Uncharacterized protein	Enterocloster clostridioformis TaxID=1531 	3
BAA	g820_2	ctg923	467	1900	-	UniRef100_A8S592	100	1	0	955	Uncharacterized protein	Enterocloster bolteae TaxID=208479 	2
BAA	g820_3	ctg923	2069	2386	-	UniRef100_R0BCA7	100	1	5.83e-47	155	Uncharacterized protein	Enterocloster TaxID=2719313 	4
BAA	g820_4	ctg923	2637	4979	-	UniRef100_R0AZL3	100	1	0	1516	ATP-dependent DNA helicase	Enterocloster bolteae TaxID=208479 	3
BAA	g820_5	ctg923	4998	5150	-	UniRef100_A8S586	100	1	2.04e-27	102	Uncharacterized protein	Clostridium bolteae (strain ATCC BAA-613 / WAL 16351) TaxID=411902 	1
BAA	g820_6	ctg923	5238	5855	+	UniRef100_R0BA72	100	1	5.61e-143	406	Uncharacterized protein	Enterocloster bolteae TaxID=208479 	3
BAA	g820_7	ctg923	5992	6312	-	UniRef100_R5F7J8	100	1	2.39e-69	212	Uncharacterized protein	Clostridiales TaxID=186802 	7
BAA	g820_8	ctg923	6526	7335	-	UniRef100_N9ZQ27	100	1	3.1e-190	531	Cof-like hydrolase	Enterocloster bolteae TaxID=208479 	3
BAA	g820_9	ctg923	7456	8769	-	UniRef100_R0BCB2	99.8	1	6.47e-311	850	Uncharacterized protein	Enterocloster bolteae TaxID=208479 	3
BAA	g820_10	ctg923	8819	10123	-	UniRef100_UPI000E44B885	97.333	0.975280898876404	0	884	amidohydrolase	Enterocloster bolteae TaxID=208479 	1
